"","year","survey","species","scientific_name","depth","cpue_kg_km2","fishing_event_id","o2","enviro","longitude","latitude","suvey","est_non_rf","quadratic","model"
"41",2013,"SYN HS","longnose skate","raja rhina",0,0,886489,NA,1,449.227243079527,5763.41765853317,"SYN HS",-18.071277399008,TRUE,1
"42",2013,"SYN HS","longnose skate","raja rhina",0,0,886490,NA,1.1,449.227243079527,5763.41765853317,"SYN HS",-18.0073978633461,TRUE,1
"43",2013,"SYN HS","longnose skate","raja rhina",0,0,886491,NA,1.2,449.227243079527,5763.41765853317,"SYN HS",-17.9444205677813,TRUE,1
"44",2013,"SYN HS","longnose skate","raja rhina",0,0,886492,NA,1.3,449.227243079527,5763.41765853317,"SYN HS",-17.8823455123135,TRUE,1
"45",2013,"SYN HS","longnose skate","raja rhina",0,0,886495,NA,1.4,449.227243079527,5763.41765853317,"SYN HS",-17.8211726969429,TRUE,1
"46",2013,"SYN HS","longnose skate","raja rhina",0,0,886496,NA,1.5,449.227243079527,5763.41765853317,"SYN HS",-17.7609021216693,TRUE,1
"47",2013,"SYN HS","longnose skate","raja rhina",0,0,886498,NA,1.6,449.227243079527,5763.41765853317,"SYN HS",-17.7015337864928,TRUE,1
"48",2013,"SYN HS","longnose skate","raja rhina",0,0,886499,NA,1.7,449.227243079527,5763.41765853317,"SYN HS",-17.6430676914134,TRUE,1
"49",2013,"SYN HS","longnose skate","raja rhina",0,0,886500,NA,1.8,449.227243079527,5763.41765853317,"SYN HS",-17.585503836431,TRUE,1
"50",2013,"SYN HS","longnose skate","raja rhina",0,31.680281731,886501,NA,1.9,449.227243079527,5763.41765853317,"SYN HS",-17.5288422215458,TRUE,1
"51",2013,"SYN HS","longnose skate","raja rhina",0,0,886502,NA,2,449.227243079527,5763.41765853317,"SYN HS",-17.4730828467576,TRUE,1
"52",2013,"SYN HS","longnose skate","raja rhina",0,0,886503,NA,2.1,449.227243079527,5763.41765853317,"SYN HS",-17.4182257120665,TRUE,1
"53",2013,"SYN HS","longnose skate","raja rhina",0,0,886504,NA,2.2,449.227243079527,5763.41765853317,"SYN HS",-17.3642708174725,TRUE,1
"54",2013,"SYN HS","longnose skate","raja rhina",0,0,886505,NA,2.3,449.227243079527,5763.41765853317,"SYN HS",-17.3112181629756,TRUE,1
"55",2013,"SYN HS","longnose skate","raja rhina",0,55.422060305,886506,NA,2.4,449.227243079527,5763.41765853317,"SYN HS",-17.2590677485757,TRUE,1
"56",2013,"SYN HS","longnose skate","raja rhina",0,0,886342,NA,2.5,449.227243079527,5763.41765853317,"SYN HS",-17.207819574273,TRUE,1
"57",2013,"SYN HS","longnose skate","raja rhina",0,0,886344,NA,2.6,449.227243079527,5763.41765853317,"SYN HS",-17.1574736400673,TRUE,1
"58",2013,"SYN HS","longnose skate","raja rhina",0,0,886345,NA,2.7,449.227243079527,5763.41765853317,"SYN HS",-17.1080299459587,TRUE,1
"59",2013,"SYN HS","longnose skate","raja rhina",0,0,886346,NA,2.8,449.227243079527,5763.41765853317,"SYN HS",-17.0594884919472,TRUE,1
"60",2013,"SYN HS","longnose skate","raja rhina",0,0,886349,NA,2.9,449.227243079527,5763.41765853317,"SYN HS",-17.0118492780327,TRUE,1
"61",2013,"SYN HS","longnose skate","raja rhina",0,0,886350,NA,3,449.227243079527,5763.41765853317,"SYN HS",-16.9651123042154,TRUE,1
"62",2013,"SYN HS","spotted ratfish","raja rhina",0,0,886312,NA,-3,449.227243079527,5763.41765853317,"SYN HS",-24.4217498108132,TRUE,3
