"","longitude","latitude","trawl_id","scientific_name","project","year","pass","vessel","tow","date","area_swept_ha","subsample_count","subsample_wt_kg","total_catch_numbers","total_catch_wt_kg","cpue_kg_km2","species","o2","enviro","depth","performance","survey","est_non_rf","quadratic","model"
"51",489.085534315118,4214.35953139574,200303006111,"parophrys vetulus","NWFSC.Combo",2013,1,"Captain Jack",111,"2003-Jul-29",1.837649506483,101,19.15,261,49.45,2690.9375169501,"greenstriped rockfish",NA,-3,0,"Satisfactory","nwfsc.combo",-3.22085767704963,TRUE,1
"31",360.56115696057,4594.03802190176,200303008092,"parophrys vetulus","NWFSC.Combo",2013,2,"Excalibur",92,"2003-Sep-27",3.047135244951,0,0,0,0,0,"greenstriped rockfish",NA,-2.9,0,"Satisfactory","nwfsc.combo",-2.94996530944664,TRUE,1
"52",539.742450650572,4136.78388469806,200303010119,"parophrys vetulus","NWFSC.Combo",2013,1,"Ms. Julie",119,"2003-Jul-30",1.651003550154,56,5,56,5,302.8461083281,"greenstriped rockfish",NA,-2.8,0,"Satisfactory","nwfsc.combo",-2.68697791201257,TRUE,1
"43",382.307040471073,4836.75075598486,200403008067,"parophrys vetulus","NWFSC.Combo",2013,2,"Excalibur",67,"2004-Sep-06",1.821803050999,68,15.8,68,15.8,867.2726720562,"greenstriped rockfish",NA,-2.7,0,"Satisfactory","nwfsc.combo",-2.43189548474741,TRUE,1
"58",907.95635674298,3732.8390778454,200503008205,"parophrys vetulus","NWFSC.Combo",2013,2,"Excalibur",205,"2005-Oct-16",1.178599629,0,0,0,0,0,"greenstriped rockfish",NA,-2.6,0,"Satisfactory","nwfsc.combo",-2.18471802765117,TRUE,1
"48",400.785344994763,5076.41602125921,200503010013,"parophrys vetulus","NWFSC.Combo",2013,1,"Ms. Julie",13,"2005-May-31",1.530573696496,0,0,0,0,0,"greenstriped rockfish",NA,-2.5,0,"Satisfactory","nwfsc.combo",-1.94544554072385,TRUE,1
"44",386.849242684541,5130.37452384603,200503010038,"parophrys vetulus","NWFSC.Combo",2013,1,"Ms. Julie",38,"2005-Jun-06",1.453993788374,1,0.3,1,0.3,20.6328254219,"greenstriped rockfish",NA,-2.4,0,"Satisfactory","nwfsc.combo",-1.71407802396544,TRUE,1
"27",354.643207859106,4857.38883724183,200503010065,"parophrys vetulus","NWFSC.Combo",2013,1,"Ms. Julie",65,"2005-Jun-19",1.582127724364,20,6.25,20,6.25,395.0376384759,"greenstriped rockfish",NA,-2.3,0,"Satisfactory","nwfsc.combo",-1.49061547737595,TRUE,1
"53",573.916711977657,4081.94325387394,200503010116,"parophrys vetulus","NWFSC.Combo",2013,1,"Ms. Julie",116,"2005-Jul-08",1.369797968324,29,7.45,29,7.45,543.875824923,"greenstriped rockfish",NA,-2.2,0,"Satisfactory","nwfsc.combo",-1.27505790095537,TRUE,1
"61",980.070677685552,3655.82144189117,200503010162,"parophrys vetulus","NWFSC.Combo",2013,1,"Ms. Julie",162,"2005-Jul-23",2.142588915639,0,0,0,0,0,"greenstriped rockfish",NA,-2.1,0,"Satisfactory","nwfsc.combo",-1.06740529470371,TRUE,1
"60",919.676473315616,3748.29899404546,200603017169,"parophrys vetulus","NWFSC.Combo",2013,1,"Noahs Ark",169,"2006-Jul-17",1.624528925621,33,8.95,33,8.95,550.9289406207,"greenstriped rockfish",NA,-2,0,"Satisfactory","nwfsc.combo",-0.867657658620963,TRUE,1
